epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,8485.5229,6045.1068,9e-06,-2.48122,1.844857,77.7503,True,False
2,4137.2974,2234.3987,4e-06,-0.286732,1.121608,47.2694,True,False
3,1889.2522,1737.219,3e-06,-0.000419,0.988981,41.68,True,False
4,1737.3093,1740.2604,3e-06,-0.002171,0.989846,41.7164,False,False
5,1736.7199,1741.5046,3e-06,-0.002887,0.9902,41.7313,False,False
6,1740.0532,1741.9717,3e-06,-0.003156,0.990333,41.7369,False,False
7,1745.0589,1743.9897,3e-06,-0.004319,0.990906,41.7611,False,False
8,1739.8917,1741.0716,3e-06,-0.002638,0.990077,41.7262,False,False
9,1738.3506,1747.4414,3e-06,-0.006306,0.991886,41.8024,False,False
10,1735.011,1739.3555,3e-06,-0.00165,0.989589,41.7056,False,False
11,1740.745,1743.3061,3e-06,-0.003925,0.990712,41.7529,False,False
12,1741.9382,1740.0308,2e-06,-0.002039,0.989781,41.7137,False,False
13,1743.6028,1740.6675,2e-06,-0.002405,0.989962,41.7213,False,False
14,1743.3811,1742.0624,2e-06,-0.003209,0.990359,41.738,False,False
15,1739.9905,1740.679,2e-06,-0.002412,0.989965,41.7214,False,False
16,1736.3093,1745.0839,2e-06,-0.004949,0.991217,41.7742,False,False
17,1737.7279,1738.9383,2e-06,-0.00141,0.98947,41.7006,False,False
18,1731.0554,1747.1137,2e-06,-0.006117,0.991793,41.7985,False,False
19,1743.7775,1738.4388,2e-06,-0.001122,0.989328,41.6946,False,False
20,1739.9029,1739.4697,2e-06,-0.001716,0.989621,41.707,False,False
21,1741.7806,1742.8584,1e-06,-0.003667,0.990585,41.7476,False,False
22,1741.6618,1738.2505,2e-06,-0.001013,0.989274,41.6923,False,False
23,1740.1282,1746.0116,2.7e-05,-0.005483,0.991481,41.7853,False,False
24,1751.1861,1747.3256,7.1e-05,-0.00624,0.991853,41.801,False,False
25,1745.7843,1739.21,0.000284,-0.001566,0.989548,41.7038,False,False
26,1609.9682,892.6779,0.350231,0.48593,0.708938,29.8777,True,False
27,475.9975,290.1307,0.900222,0.832921,0.404164,17.0332,True,False
