epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,23189.4795,21996.2481,2e-06,-1.540592,1.5866,148.3113,True,False
2,18267.2634,15709.4889,1e-06,-0.814464,1.340831,125.3375,True,False
3,12497.5073,10591.9023,1e-06,-0.223377,1.100982,102.917,True,False
4,9454.8516,8915.2138,0.0,-0.029717,1.010088,94.4204,True,False
5,8841.3519,8700.5392,0.0,-0.004922,0.997852,93.2767,True,False
6,8803.6333,8681.2792,0.0,-0.002698,0.996747,93.1734,True,False
7,8820.6346,8682.4574,0.0,-0.002834,0.996815,93.1797,False,False
8,8789.4071,8683.1767,0.0,-0.002917,0.996856,93.1836,False,False
9,8816.0829,8678.0726,0.0,-0.002327,0.996563,93.1562,True,False
10,8807.4816,8676.8827,0.0,-0.00219,0.996495,93.1498,True,False
11,8809.1061,8677.1976,0.0,-0.002226,0.996513,93.1515,False,False
12,8816.9591,8684.0196,0.0,-0.003014,0.996904,93.1881,False,False
13,8814.5067,8683.4547,3e-06,-0.002949,0.996872,93.1851,False,False
14,8823.9367,8673.6906,3.1e-05,-0.001821,0.996311,93.1327,True,False
15,8803.1546,8643.9373,0.004864,0.001615,0.994601,92.9728,True,False
16,7813.8031,5620.3441,0.416446,0.350844,0.802,74.9689,True,False
17,5068.0517,4382.2475,0.621661,0.493845,0.708177,66.1985,True,False
18,3982.2174,4038.9378,0.666959,0.533498,0.679871,63.5526,True,False
19,3492.034,4427.0259,0.742254,0.488674,0.711785,66.5359,False,False
20,3284.9999,4321.6204,0.695542,0.500848,0.703261,65.739,False,False
21,3113.7621,4991.3056,0.632824,0.423498,0.755788,70.6492,False,False
22,3060.112,4365.6184,0.716708,0.495766,0.706832,66.0728,False,False
23,2901.9381,4280.6282,0.683698,0.505583,0.699918,65.4265,False,False
24,2865.3631,4055.2477,0.71243,0.531614,0.681243,63.6808,False,False
25,2893.8377,3768.197,0.708039,0.564769,0.656689,61.3856,True,False
26,2715.366,3787.23,0.731491,0.562571,0.658346,61.5405,False,False
27,2720.6166,4277.3768,0.695426,0.505958,0.699652,65.4017,False,False
28,2707.2863,4673.7769,0.665773,0.460173,0.731353,68.365,False,False
29,2761.8241,3593.467,0.716392,0.584951,0.641283,59.9455,True,False
30,2592.4821,3860.8811,0.715351,0.554064,0.664716,62.136,False,False
31,2711.5017,3327.4236,0.732094,0.615679,0.617088,57.6838,True,False
32,2579.718,3559.4797,0.783245,0.588876,0.638243,59.6614,False,False
33,2530.0274,4381.2716,0.651145,0.493958,0.708098,66.1912,False,False
34,2550.3973,3509.4939,0.802141,0.594649,0.633746,59.241,False,False
35,2494.9447,3624.9197,0.72329,0.581318,0.644084,60.2073,False,False
36,2466.3445,3959.2813,0.697519,0.542698,0.673134,62.9228,False,False
37,2489.9148,3512.2982,0.724512,0.594326,0.633999,59.2646,False,False
