epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,24214.9307,17206.9801,2e-06,-1.616453,1.567409,131.1754,True,False
2,18528.7421,10790.423,1e-06,-0.640766,1.241222,103.877,True,False
3,12101.6371,6982.4568,1e-06,-0.061736,0.998468,83.5611,True,False
4,9519.5947,6590.6678,1e-06,-0.002161,0.970051,81.1829,True,False
5,9250.6692,6663.1338,1e-06,-0.01318,0.97537,81.628,False,False
6,9243.9221,6671.1108,1e-06,-0.014393,0.975954,81.6769,False,False
7,9244.7861,6676.618,1e-06,-0.015231,0.976356,81.7106,False,False
8,9225.5301,6676.9429,1e-06,-0.01528,0.97638,81.7126,False,False
9,9247.1189,6660.766,1e-06,-0.01282,0.975197,81.6135,False,False
10,9248.0407,6668.1924,1e-06,-0.01395,0.97574,81.659,False,False
11,9247.099,6673.2848,1e-06,-0.014724,0.976113,81.6902,False,False
12,9241.8348,6669.3538,1e-06,-0.014126,0.975825,81.6661,False,False
13,9247.8742,6675.0227,1e-06,-0.014988,0.97624,81.7008,False,False
14,9242.8209,6662.2594,1e-06,-0.013047,0.975306,81.6227,False,False
15,9233.4408,6655.16,1e-06,-0.011968,0.974786,81.5792,False,False
16,9237.9011,6687.0836,1e-06,-0.016822,0.977121,81.7746,False,False
17,9238.5208,6667.6422,0.0,-0.013866,0.9757,81.6556,False,False
18,9233.3639,6685.5132,0.0,-0.016583,0.977006,81.765,False,False
19,9244.3184,6659.6086,0.0,-0.012644,0.975112,81.6064,False,False
20,9239.4586,6655.2672,0.0,-0.011984,0.974794,81.5798,False,False
21,9256.0808,6685.3875,0.0,-0.016564,0.976997,81.7642,False,False
22,9238.2331,6649.2457,0.0,-0.011069,0.974353,81.5429,False,False
23,9249.0019,6685.6079,0.0,-0.016598,0.977013,81.7656,False,False
24,9239.669,6654.558,0.0,-0.011876,0.974742,81.5755,False,False
25,9240.9825,6656.6531,0.0,-0.012195,0.974895,81.5883,False,False
26,9225.984,6697.1749,0.0,-0.018357,0.977858,81.8363,False,False
27,9258.1249,6637.7779,0.0,-0.009325,0.973512,81.4726,False,False
28,9254.1143,6657.4982,0.0,-0.012324,0.974957,81.5935,False,False
29,9254.261,6668.8486,0.0,-0.014049,0.975788,81.663,False,False
30,9259.3668,6643.1328,0.0,-0.010139,0.973905,81.5054,False,False
31,9262.2449,6665.0741,0.0,-0.013475,0.975512,81.6399,False,False
32,9245.7445,6680.5022,0.0,-0.015821,0.97664,81.7343,False,False
33,9247.8976,6662.0032,0.0,-0.013008,0.975287,81.6211,False,False
34,9249.4707,6662.6996,0.0,-0.013114,0.975338,81.6254,False,False
35,9238.5879,6669.5857,0.0,-0.014161,0.975842,81.6675,False,False
36,9262.2632,6667.4294,0.0,-0.013834,0.975684,81.6543,False,False
37,9251.6689,6661.2167,1e-06,-0.012889,0.975229,81.6163,False,False
38,9242.5906,6676.2711,1e-06,-0.015178,0.976331,81.7085,False,False
39,9251.0546,6691.3947,2e-06,-0.017478,0.977436,81.8009,False,False
40,9252.1311,6692.8831,3e-06,-0.017704,0.977545,81.81,False,False
41,9240.7042,6648.5532,5e-06,-0.010963,0.974302,81.5387,False,False
42,9249.3356,6672.8733,1.7e-05,-0.014661,0.976082,81.6877,False,False
43,9239.1634,6069.8574,0.050517,0.077032,0.930935,77.9093,True,False
44,5188.4122,2248.1742,0.836901,0.658148,0.566559,47.4149,True,False
45,3576.5063,2109.4073,0.843821,0.679248,0.548795,45.9283,True,False
46,3338.41,2133.8271,0.90487,0.675535,0.551963,46.1934,False,False
47,3092.6828,2338.1506,0.924672,0.644466,0.577785,48.3544,False,False
48,2983.4713,2356.6732,0.949021,0.64165,0.580069,48.5456,False,False
49,2780.2541,2318.876,0.820523,0.647397,0.575399,48.1547,False,False
50,2869.7453,2440.617,0.866512,0.628886,0.59031,49.4026,False,False
51,2657.6949,2402.0662,0.907095,0.634747,0.585629,49.0109,False,False
52,2700.8716,2495.3146,0.855024,0.620568,0.596888,49.9531,False,False
53,2605.5285,2235.1863,0.784955,0.660123,0.56492,47.2778,False,False
54,2536.1918,2473.5846,0.931595,0.623873,0.594283,49.7351,False,False
55,2515.4712,2161.2035,0.83178,0.671372,0.555492,46.4887,False,False
56,2443.04,2292.4676,0.796035,0.651413,0.572113,47.8797,False,False
57,2414.1041,2152.5223,0.892434,0.672693,0.554375,46.3953,False,False
58,2390.1357,2417.1918,0.741572,0.632448,0.58747,49.1649,False,False
59,2330.3107,2087.3677,0.801704,0.6826,0.545921,45.6877,True,False
60,2343.4908,1792.2021,0.907935,0.727482,0.505852,42.3344,True,False
