epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,21745.1624,23745.8448,4e-06,-1.207129,1.484555,154.0969,True,False
2,15129.3313,15412.4512,2e-06,-0.432557,1.19602,124.1469,True,False
3,9556.1121,11418.0246,1e-06,-0.061283,1.029433,106.8552,True,False
4,8291.0601,10908.6556,1e-06,-0.013938,1.006209,104.4445,True,False
5,8258.1328,10893.8416,1e-06,-0.012561,1.005525,104.3736,True,False
6,8250.3242,10889.7892,1e-06,-0.012184,1.005338,104.3541,True,False
7,8234.558,10887.8752,1e-06,-0.012006,1.00525,104.345,True,False
8,8219.5521,10877.1156,1e-06,-0.011006,1.004753,104.2934,True,False
9,8244.2598,10906.6528,1e-06,-0.013752,1.006116,104.4349,False,False
10,8243.4577,10888.6486,1e-06,-0.012078,1.005286,104.3487,False,False
11,8237.7952,10898.3678,1e-06,-0.012982,1.005734,104.3952,False,False
12,8261.7028,10868.8606,1e-06,-0.010239,1.004372,104.2538,True,False
13,8244.8033,10876.2349,1e-06,-0.010925,1.004712,104.2892,False,False
14,8232.7704,10896.6225,1e-06,-0.01282,1.005654,104.3869,False,False
15,8244.9164,10859.3574,1e-06,-0.009356,1.003933,104.2082,True,False
16,8244.1381,10880.2694,1e-06,-0.0113,1.004899,104.3085,False,False
17,8253.0038,10909.3633,1e-06,-0.014004,1.006241,104.4479,False,False
18,8257.4965,10882.84,1e-06,-0.011538,1.005018,104.3209,False,False
19,8223.4619,10912.4506,1e-06,-0.014291,1.006384,104.4627,False,False
20,8243.8841,10862.9217,1e-06,-0.009687,1.004097,104.2253,False,False
21,8234.532,10921.6793,1e-06,-0.015148,1.006809,104.5068,False,False
22,8250.9129,10855.3536,1e-06,-0.008984,1.003748,104.189,True,False
23,8210.6148,10861.6127,0.0,-0.009565,1.004037,104.2191,False,False
24,8224.8112,10909.859,0.0,-0.01405,1.006264,104.4503,False,False
25,8221.5419,10861.9624,0.0,-0.009598,1.004053,104.2207,False,False
26,8246.4481,10899.109,0.0,-0.013051,1.005768,104.3988,False,False
27,8231.8234,10854.7344,0.0,-0.008926,1.003719,104.1861,True,False
28,8242.0523,10844.6281,1e-06,-0.007987,1.003252,104.1375,True,False
29,8249.7634,10860.732,1e-06,-0.009484,1.003996,104.2148,False,False
30,8240.7121,10869.4749,1e-06,-0.010296,1.0044,104.2568,False,False
31,8240.5778,10862.5435,4.8e-05,-0.009652,1.00408,104.2235,False,False
32,8058.315,9360.2177,0.172274,0.129986,0.932063,96.7482,True,False
33,4137.6248,4914.8446,0.703427,0.543175,0.675394,70.106,True,False
34,3054.8805,4432.1407,0.705902,0.588041,0.641371,66.5743,True,False
35,2919.0889,4899.3839,0.715212,0.544612,0.674331,69.9956,False,False
36,2774.7279,4130.7447,0.743046,0.616055,0.61918,64.2709,True,False
37,2611.7528,4348.5495,0.831689,0.595811,0.635294,65.9435,False,False
38,2469.2594,3792.2415,0.762473,0.647519,0.593267,61.5812,True,False
39,2455.7826,3771.9705,0.815772,0.649403,0.59168,61.4164,True,False
40,2360.1012,4099.7338,0.807066,0.618938,0.616851,64.0292,False,False
41,2393.9065,3862.3939,0.831879,0.640998,0.59873,62.1482,False,False
42,2376.1914,3921.3361,0.883043,0.63552,0.603281,62.6206,False,False
43,2237.7328,3872.4147,0.855864,0.640067,0.599506,62.2287,False,False
44,2206.5502,3928.3434,0.841549,0.634868,0.60382,62.6765,False,False
45,2193.1765,4008.9491,0.893586,0.627376,0.609983,63.3163,False,False
46,2140.334,4061.583,0.857255,0.622484,0.613974,63.7305,False,False
47,2115.2394,3695.4377,0.845459,0.656516,0.585646,60.7901,True,False
48,2128.6858,4312.8101,0.881026,0.599133,0.632678,65.672,False,False
49,2089.7382,4159.7505,0.879858,0.613359,0.62135,64.4961,False,False
50,2051.2337,3876.2031,0.893581,0.639715,0.599799,62.2592,False,False
51,2010.3715,4018.4253,0.925002,0.626495,0.610704,63.3911,False,False
52,2026.7415,4091.0835,0.825694,0.619742,0.6162,63.9616,False,False
53,2045.0167,3989.8271,0.880959,0.629153,0.608527,63.1651,False,False
54,1978.785,4034.6985,0.932918,0.624983,0.611939,63.5193,False,False
55,1970.9079,4064.711,0.841681,0.622193,0.614211,63.7551,False,False
56,1932.9658,3820.7386,0.907104,0.64487,0.595492,61.8121,False,False
57,1948.5613,4152.0656,0.845702,0.614074,0.620776,64.4365,False,False
58,1974.5149,3754.0641,0.841606,0.651067,0.590274,61.2704,False,False
59,1932.5551,3813.2555,0.891573,0.645565,0.594909,61.7516,False,False
60,1921.1639,3857.8468,0.906584,0.641421,0.598377,62.1116,False,False
61,1935.0523,4022.3315,0.917444,0.626132,0.611,63.4219,False,False
62,1918.7975,4341.9028,0.864597,0.596429,0.634808,65.8931,False,False
63,1897.5237,3746.6588,0.87852,0.651755,0.589691,61.21,False,False
64,1908.4666,3911.3829,0.87788,0.636445,0.602515,62.541,False,False
65,1876.5307,3965.2564,0.920915,0.631437,0.60665,62.9703,False,False
