epoch,tr_loss,va_loss,va_PDR,va_R2,va_CBR,va_RMSE,is_best,stopped
1,24379.4187,17087.7628,2e-06,-1.355414,1.470872,130.7202,True,False
2,18871.8331,11124.5854,1e-06,-0.533437,1.186791,105.4732,True,False
3,12278.3972,7547.6009,1e-06,-0.040378,0.977545,86.8769,True,False
4,9442.7357,7330.1429,1e-06,-0.010403,0.96336,85.6163,True,False
5,9105.6229,7472.194,1e-06,-0.029983,0.972649,86.4418,False,False
6,9107.1043,7497.9546,1e-06,-0.033534,0.974325,86.5907,False,False
7,9094.1328,7491.0729,1e-06,-0.032586,0.973878,86.551,False,False
8,9079.4465,7495.1146,1e-06,-0.033143,0.97414,86.5743,False,False
9,9100.0569,7492.2279,1e-06,-0.032745,0.973953,86.5577,False,False
10,9090.3543,7508.7067,1e-06,-0.035016,0.975023,86.6528,False,False
11,9110.5606,7496.3184,1e-06,-0.033309,0.974218,86.5813,False,False
12,9086.193,7482.6829,1e-06,-0.031429,0.973332,86.5025,False,False
13,9085.1389,7487.6452,1e-06,-0.032113,0.973655,86.5312,False,False
14,9091.9691,7490.562,1e-06,-0.032515,0.973844,86.548,False,False
15,9079.3061,7499.5771,1e-06,-0.033758,0.97443,86.6001,False,False
16,9084.1838,7491.3028,0.0,-0.032617,0.973892,86.5523,False,False
17,9093.1408,7472.3542,0.0,-0.030006,0.97266,86.4428,False,False
18,9100.9298,7494.2666,0.0,-0.033026,0.974085,86.5694,False,False
19,9092.1935,7492.7744,0.0,-0.03282,0.973988,86.5608,False,False
20,9100.7558,7466.0549,0.0,-0.029137,0.97225,86.4063,False,False
21,9074.5205,7495.0697,0.0,-0.033137,0.974137,86.5741,False,False
22,9091.5685,7486.0625,0.0,-0.031895,0.973552,86.522,False,False
23,9087.9769,7475.6513,0.0,-0.03046,0.972874,86.4618,False,False
24,9100.6546,7463.3787,0.0,-0.028768,0.972076,86.3908,False,False
25,9070.7247,7528.2278,0.0,-0.037707,0.97629,86.7654,False,False
26,9095.3209,7464.4795,0.0,-0.02892,0.972147,86.3972,False,False
27,9091.0342,7550.1053,0.0,-0.040723,0.977707,86.8913,False,False
28,9088.4128,7466.6826,0.0,-0.029224,0.972291,86.41,False,False
29,9100.4272,7494.9034,0.0,-0.033114,0.974126,86.5731,False,False
30,9097.2306,7512.785,0.0,-0.035579,0.975288,86.6763,False,False
31,9087.7573,7487.4431,0.0,-0.032085,0.973642,86.53,False,False
32,9097.1367,7426.3191,0.0,-0.02366,0.969659,86.1761,False,False
33,9105.1527,7476.5369,0.0,-0.030582,0.972932,86.467,False,False
